كود الصنف,اسم الصنف,القسم,وحدة البيع,سعر الحبة,عدد الحبات بالكرتون,سعر الكرتون,المخزون,الرئيسي,فرع02,فرع05,معرف الصورة,عرض,جديد,وسوم,إظهار,ترتيب,ملاحظة
800-03127,العاب بطارية سكيت بوليس,,حبه,14.0,144,,762,754,8,6,,,,,نعم,,
800-03129,العاب بطارية سكيت دخان ميلودي,,حبه,14.0,120,,6,0,6,4,,,,,نعم,,
800-03130,العاب بطارية سكيت دخان كرومي,,حبه,14.0,120,,18,0,18,6,,,,,نعم,,
800-03153,حصالة بناتي,,حبه,15.0,96,,146,134,12,11,,,,,نعم,,
800-03177,كتاب تعليمي عربي,,حبه,28.0,72,,7,0,7,6,,,,,نعم,,
800-03180,مسدس راس ديناصور مع هدف,,حبه,14.0,48,,16,6,10,6,,,,,نعم,,
800-03209,ورق بلوت توي جوي,,حبه,7.0,144,,171,134,37,6,,,,,نعم,,
800-03212,لعبة ورقية_كَلِم,,حبه,7.0,144,,13,0,13,12,,,,,نعم,,
800-03214,علبة صلصال احمر,,حبه,3.75,192,,39,0,39,6,,,,,نعم,,
800-03215,علبة صلصال بمبي,,حبه,3.75,192,,6,6,0,6,,,,,نعم,,
800-03231,دكتور علبة وسط,,حبه,29.0,24,,13,0,13,0,,,,,نعم,,
800-03253,علبة اكسسوارات مناكير,,حبه,29.0,18,,15,5,10,12,,,,,نعم,,
800-03255,طلقات اوربيز مضيئة 3 الف طلقة_50ظرف,,ربطة,150.0,12,,2,0,2,0,,,,,نعم,,
800-03256,طلقات اوربيز 25 الف طلقة,,حبه,4.34,216,,339,302,37,12,,,,,نعم,,
800-03257,طلقات اوربيز 45 الف طلقة,,حبه,8.0,120,,120,83,37,12,,,,,نعم,,
800-03259,مكرفون وسماعه بعلبة,,حبه,12.0,120,,59,42,17,6,,,,,نعم,,
800-03283,سيارة بهلواني مع ساعة وريموت,,حبه,39.0,36,,18,0,18,14,,,,,نعم,,
800-03305,مجموعة 2*1بيت قط واكسسوارات,,حبه,42.0,16,,17,2,15,6,,,,,نعم,,
800-03311,مفرش أطفال مع شخاشيخ,,حبه,25.0,30,,158,146,12,12,,,,,نعم,,
800-03312,مواقف سيارات دورية المخالب,,حبه,32.0,24,,121,103,18,7,,,,,نعم,,
800-03321,بيبليد شكل بنت,,حبه,15.0,36,,23,0,23,6,,,,,نعم,,
800-03323,كاشيير كبير مع سلة تسوق بعلبة,,حبه,38.0,16,,21,14,7,9,,,,,نعم,,
800-03324,مجموعة وزاوز شخصيات منوعة بكيس,,حبه,8.0,216,,851,815,36,36,,,,,نعم,,
800-03326,صندوق مفاجات كرومي وستيتش,,حبه,17.0,60,,152,135,17,6,,,,,نعم,,
800-03327,صندوق مفاجات الابطال وماريو,,حبه,17.0,60,,137,120,17,6,,,,,نعم,,
800-03328,سماعة ومكرفون,,حبه,18.0,60,,60,45,15,12,,,,,نعم,,
800-03331,مكفرون أطفال مع أصوات موسيقية,,حبه,11.0,96,,2,0,2,0,,,,,نعم,,
800-03337,مسدس ماء مع حافظة,,حبه,7.5,72,,54,41,13,6,,,,,نعم,,
800-03350,نافورة فقاعات صابون,,حبه,19.17,48,,3,0,3,0,,,,,نعم,,
800-03352,صلصال بعلبة شفاف,,حبه,18.0,36,,76,59,17,6,,,,,نعم,,
800-03358,طاولة رسم مع ورق,,حبه,32.0,24,,2,0,2,0,,,,,نعم,,
800-03362,مطارة ماء مع الوان وملصقات,,حبه,16.0,60,,40,0,40,6,,,,,نعم,,
800-03364,مجموعة سونيك بعلبة شفافا,,حبه,22.0,48,,2,0,2,0,,,,,نعم,,
800-03366,حروف انجليزية مغناطيسية,,حبه,14.0,48,,111,94,17,6,,,,,نعم,,
800-03369,مكعبات 81 قطعة_فضاء,,حبه,32.92,24,,57,46,11,12,,,,,نعم,,
800-03374,كرت درع وسيف وقناع,,حبه,6.5,72,,20,9,11,3,,,,,نعم,,
800-03375,كرت درع وسيف,,حبه,4.0,120,,57,46,11,6,,,,,نعم,,
800-03391,دفتر تلونين قابل للمسح بالماء,,حبه,8.0,72,,358,335,23,6,,,,,نعم,,
800-03394,مكرفون أطفال قرش,,حبه,13.0,72,,220,208,12,6,,,,,نعم,,
800-03396,سبورة سحرية الاميرات,,حبه,8.0,120,,217,195,22,6,,,,,نعم,,
800-03400,مجموعة دكتور مع ملابس,,حبه,24.17,24,,16,0,16,3,,,,,نعم,,
800-03401,مكعب سحري اشكال مختلفة بكرت,,حبه,5.0,96,,10,0,10,6,,,,,نعم,,
800-03409,عروسة مع عربية وهزاز بعلبة,,حبه,54.0,16,,7,0,7,7,,,,,نعم,,
800-03411,كاشيير تسوق كرومي,,حبه,25.0,60,,230,175,55,18,,,,,نعم,,
800-03432,خيمة مع 100 كورة كرومي,,حبه,52.0,12,,102,92,10,6,,,,,نعم,,
800-03441,كرت جوال ونظارة وساعه لابوبو,,حبه,2.5,360,,399,353,46,12,,,,,نعم,,
800-03442,كرت جوال ونظارة وساعه كرومي,,حبه,2.5,360,,433,377,56,12,,,,,نعم,,
800-03446,فرفيرة كبير,,حبه,85.0,6,,28,18,10,6,,,,,نعم,,
800-03448,سيارة ريموت رابتر,,حبه,42.0,30,,164,151,13,12,,,,,نعم,,
800-03449,سيارات دف بكيس4 حبات,,حبه,8.75,128,,383,365,18,12,,,,,نعم,,
800-03450,بوكس 12 سيارة جي كلاس,,BOX,36.0,36,,53,50,3,1,,,,,نعم,,
800-03456,مسدس ماء صغير,,حبه,1.84,360,,379,343,36,12,,,,,نعم,,
800-03459,مجموعة مارفل بعلبة,,حبه,22.0,64,,13,0,13,0,,,,,نعم,,
800-03461,سيارات ريموت دورية,,حبه,19.0,72,,11,0,11,6,,,,,نعم,,
800-03462,جوال أطفال بصوت,,BOX,84.0,24,,39,34,5,1,,,,,نعم,,
800-03462-1,جوال أطفال بصوت_بالحبه,,حبة,7.0,,,11,0,11,0,,,,,نعم,,
800-03465,لعبة سكرو,,حبه,9.0,120,,215,194,21,6,,,,,نعم,,
800-03468,خيمة مع 100 كورة لول,,حبه,49.0,12,,31,18,13,6,,,,,نعم,,
800-03472,سيارة ريموت مجنونة احمر,,حبه,21.0,36,,134,121,13,12,,,,,نعم,,
